# forecast_id: 31ae8548-9a07-11e9-b2f4-0a580a8003d5
# metadata: https://api.solarforecastarbiter.org/forecasts/single/31ae8548-9a07-11e9-b2f4-0a580a8003d5/metadata
timestamp,value
20190515T07:00:00+0000,0.0
20190515T08:00:00+0000,0.0
20190515T09:00:00+0000,0.0
20190515T10:00:00+0000,0.0
20190515T11:00:00+0000,0.0
20190515T12:00:00+0000,0.0
20190515T13:00:00+0000,9.09543
20190515T14:00:00+0000,144.831
20190515T15:00:00+0000,378.423
20190515T16:00:00+0000,605.069
20190515T17:00:00+0000,701.176
20190515T18:00:00+0000,862.476
20190515T19:00:00+0000,734.03
20190515T20:00:00+0000,734.495
20190515T21:00:00+0000,437.566
20190515T22:00:00+0000,309.48
20190515T23:00:00+0000,374.715
20190516T00:00:00+0000,443.63
20190516T01:00:00+0000,217.31
20190516T02:00:00+0000,56.4776
20190516T03:00:00+0000,0.134581
20190516T04:00:00+0000,0.0
20190516T05:00:00+0000,0.0
20190516T06:00:00+0000,0.0
20190516T07:00:00+0000,0.0
20190516T08:00:00+0000,0.0
20190516T09:00:00+0000,0.0
20190516T10:00:00+0000,0.0
20190516T11:00:00+0000,0.0
20190516T12:00:00+0000,0.0
20190516T13:00:00+0000,4.94916
20190516T14:00:00+0000,67.6271
20190516T15:00:00+0000,144.757
20190516T16:00:00+0000,220.076
20190516T17:00:00+0000,283.4
20190516T18:00:00+0000,929.975
20190516T19:00:00+0000,1019.26
20190516T20:00:00+0000,1038.62
20190516T21:00:00+0000,954.058
20190516T22:00:00+0000,873.5
20190516T23:00:00+0000,713.68
20190517T00:00:00+0000,390.899
20190517T01:00:00+0000,214.966
20190517T02:00:00+0000,62.6461
20190517T03:00:00+0000,0.128474
20190517T04:00:00+0000,0.0
20190517T05:00:00+0000,0.0
20190517T06:00:00+0000,0.0
20190517T07:00:00+0000,0.0
20190517T08:00:00+0000,0.0
20190517T09:00:00+0000,0.0
20190517T10:00:00+0000,0.0
20190517T11:00:00+0000,0.0
20190517T12:00:00+0000,0.0
20190517T13:00:00+0000,10.0971
20190517T14:00:00+0000,154.362
